stop,lat,long
37th St. & Grand (Eastbound),34.016703,-118.277932
Hill & 35th St,34.018337,-118.275659
Grand & Jefferson Blvd.,34.020481,-118.276098
Grand & 30th St.,34.023246,-118.274306
Grand & 28th St.,34.024871,-118.273281
Adams & Grand Ave.,34.026759,-118.272791
Figueroa & Adams Blvd.,34.027942,-118.275745
23rd & Figueroa St.,34.030632,-118.274064
23rd & Grand Ave.,34.029116,-118.270836
23rd & Broadway,34.028176,-118.26826
23rd & Main St.,34.027704,-118.267242
23rd & Maple Ave.,34.0259,-118.264131
Trinity & 23rd St.,34.025192,-118.261716
Trinity & 21st St.,34.026597,-118.260657
San Pedro & 21st St.,34.026096,-118.258424
San Pedro & Washington Blvd.,34.026907,-118.257887
Griffth & Washington Blvd.,34.025761,-118.253849
Griffth & 21st St.,34.024259,-118.254772
Griffth & 23rd St.,34.022262,-118.256051 
Adams & Griffth Ave.,34.019762,-118.257353 
Adams & Central Ave.,34.018783,-118.255166
Central & 28th St.,34.01701,-118.255729
Central & 33rd St.,34.013942,-118.25658
Central & Jefferson Blvd.,34.01213,-118.256647
MLK & Wadsworth Ave.,34.011061,-118.258808
MLK & McKinley Ave.,34.011079,-118.260636
MLK & Avalon Blvd.,34.011178,-118.265722
MLK & San Pedro St.,34.011239,-118.267641
MLK & Trinity St.,34.011251,-118.269949
MLK & Main St.,34.011218,-118.274251
MLK & Broadway,34.01118,-118.278142
Grand & 39th,34.01389,-118.28006
